torneo,año,semestre,fase,jornada,match_date,team_home,home_score,score,team_away,away_score,match_url
primera-a,2024,Apertura,Final,1,2024-06-08,Atlético Bucaramanga,1 ,1 - 0,Independiente Santa Fe, 0,https://el.soccerway.com/matches/2024/06/09/colombia/primera-a/atletico-bucaramanga/independiente-santa-fe/4360955/
primera-a,2024,Apertura,Final,2,2024-06-15,Independiente Santa Fe,3 ,3 - 2,Atlético Bucaramanga, 2,https://el.soccerway.com/matches/2024/06/16/colombia/primera-a/independiente-santa-fe/atletico-bucaramanga/4360956/
primera-a,2024,Clausura,Todos contra todos,1,2024-07-15,Boyacá Chicó,0 ,0 - 1,Once Caldas, 1,https://el.soccerway.com/matches/2024/07/16/colombia/primera-a/deportivo-boyaca-chico-futbol-club/corperacion-deportiva-once-caldas/4414988/
primera-a,2024,Clausura,Todos contra todos,1,2024-07-16,Envigado,2 ,2 - 1,La Equidad, 1,https://el.soccerway.com/matches/2024/07/16/colombia/primera-a/envigado-futbol-club/la-equidad/4414989/
primera-a,2024,Clausura,Todos contra todos,1,2024-07-16,Águilas Doradas,1 ,1 - 2,América de Cali, 2,https://el.soccerway.com/matches/2024/07/17/colombia/primera-a/itagui-ditaires/corporacion-deportiva-america/4414990/
primera-a,2024,Clausura,Todos contra todos,1,2024-07-16,Deportivo Cali,0 ,0 - 2,Deportivo Pereira, 2,https://el.soccerway.com/matches/2024/07/17/colombia/primera-a/deportivo-cali/club-deportivo-pereira/4414991/
primera-a,2024,Clausura,Todos contra todos,1,2024-07-17,Independiente Santa Fe,2 ,2 - 1,Deportivo Pasto, 1,https://el.soccerway.com/matches/2024/07/18/colombia/primera-a/independiente-santa-fe/deportivo-pasto/4414992/
primera-a,2024,Clausura,Todos contra todos,1,2024-07-17,Alianza,0 ,0 - 2,Atlético Nacional, 2,https://el.soccerway.com/matches/2024/07/18/colombia/primera-a/alianza-petrolera/atletico-nacional/4414993/
primera-a,2024,Clausura,Todos contra todos,1,2024-07-18,Atlético Bucaramanga,1 ,1 - 0,Junior, 0,https://el.soccerway.com/matches/2024/07/19/colombia/primera-a/atletico-bucaramanga/corporacion-popular-deportiva-junior/4414994/
primera-a,2024,Clausura,Todos contra todos,1,2024-07-18,Independiente Medellín,1 ,1 - 1,Millonarios, 1,https://el.soccerway.com/matches/2024/07/19/colombia/primera-a/corporacion-deportiva-independiente-medellin/club-deportivo-los-millonarios/4414995/
primera-a,2024,Clausura,Todos contra todos,1,2024-07-19,Jaguares de Córdoba,0 ,0 - 0,Patriotas Boyacá, 0,https://el.soccerway.com/matches/2024/07/20/colombia/primera-a/cd-jaguares-de-cordoba/patriotas-fc/4414996/
primera-a,2024,Clausura,Todos contra todos,1,2024-07-19,Fortaleza CEIF,1 ,1 - 1,Deportes Tolima, 1,https://el.soccerway.com/matches/2024/07/20/colombia/primera-a/juventud-soacha/deportes-tolima/4414997/
primera-a,2024,Clausura,Todos contra todos,2,2024-07-20,Envigado,0 ,0 - 1,Independiente Santa Fe, 1,https://el.soccerway.com/matches/2024/07/20/colombia/primera-a/envigado-futbol-club/independiente-santa-fe/4414998/
primera-a,2024,Clausura,Todos contra todos,2,2024-07-20,Once Caldas,1 ,1 - 0,Águilas Doradas, 0,https://el.soccerway.com/matches/2024/07/21/colombia/primera-a/corperacion-deportiva-once-caldas/itagui-ditaires/4415000/
primera-a,2024,Clausura,Todos contra todos,2,2024-07-21,Millonarios,1 ,1 - 0,Atlético Bucaramanga, 0,https://el.soccerway.com/matches/2024/07/21/colombia/primera-a/club-deportivo-los-millonarios/atletico-bucaramanga/4415001/
primera-a,2024,Clausura,Todos contra todos,2,2024-07-21,Atlético Nacional,2 ,2 - 1,América de Cali, 1,https://el.soccerway.com/matches/2024/07/22/colombia/primera-a/atletico-nacional/corporacion-deportiva-america/4415002/
primera-a,2024,Clausura,Todos contra todos,2,2024-07-21,Junior,2 ,2 - 1,Boyacá Chicó, 1,https://el.soccerway.com/matches/2024/07/22/colombia/primera-a/corporacion-popular-deportiva-junior/deportivo-boyaca-chico-futbol-club/4415003/
primera-a,2024,Clausura,Todos contra todos,2,2024-07-22,Deportivo Cali,1 ,1 - 0,Alianza, 0,https://el.soccerway.com/matches/2024/07/23/colombia/primera-a/deportivo-cali/alianza-petrolera/4414999/
primera-a,2024,Clausura,Todos contra todos,2,2024-07-22,Deportivo Pereira,1 ,1 - 1,Independiente Medellín, 1,https://el.soccerway.com/matches/2024/07/23/colombia/primera-a/club-deportivo-pereira/corporacion-deportiva-independiente-medellin/4415004/
primera-a,2024,Clausura,Todos contra todos,2,2024-07-23,Patriotas Boyacá,0 ,0 - 2,Fortaleza CEIF, 2,https://el.soccerway.com/matches/2024/07/23/colombia/primera-a/patriotas-fc/juventud-soacha/4415005/
primera-a,2024,Clausura,Todos contra todos,2,2024-07-23,La Equidad,1 ,1 - 0,Jaguares de Córdoba, 0,https://el.soccerway.com/matches/2024/07/24/colombia/primera-a/la-equidad/cd-jaguares-de-cordoba/4415006/
primera-a,2024,Clausura,Todos contra todos,2,2024-07-23,Deportes Tolima,2 ,2 - 1,Deportivo Pasto, 1,https://el.soccerway.com/matches/2024/07/24/colombia/primera-a/deportes-tolima/deportivo-pasto/4415007/
